Year;Date;Time;Round;Stadium;City;Country;HomeTeam;HomeGoals;AwayGoals;AwayTeam;WINNER;Observation
1930;13.lip.30; 15:00 ;Group 1;Pocitos;Montevideo ;Uruguay;France;4;1;Mexico;France; 
1930;13.lip.30; 15:00 ;Group 4;Parque Central;Montevideo ;Uruguay;USA;3;0;Belgium;USA; 
1930;14.lip.30; 12:45 ;Group 2;Parque Central;Montevideo ;Uruguay;Yugoslavia;2;1;Brazil;Yugoslavia; 
1930;14.lip.30; 14:50 ;Group 3;Pocitos;Montevideo ;Uruguay;Romania;3;1;Peru;Romania; 
1930;15.lip.30; 16:00 ;Group 1;Parque Central;Montevideo ;Uruguay;Argentina;1;0;France;Argentina; 
1930;16.lip.30; 14:45 ;Group 1;Parque Central;Montevideo ;Uruguay;Chile;3;0;Mexico;Chile; 
1930;17.lip.30; 12:45 ;Group 2;Parque Central;Montevideo ;Uruguay;Yugoslavia;4;0;Bolivia;Yugoslavia; 
1930;17.lip.30; 14:45 ;Group 4;Parque Central;Montevideo ;Uruguay;USA;3;0;Paraguay;USA; 
1930;18.lip.30; 14:30 ;Group 3;Estadio Centenario;Montevideo ;Uruguay;Uruguay;1;0;Peru;Uruguay; 
1930;19.lip.30; 12:50 ;Group 1;Estadio Centenario;Montevideo ;Uruguay;Chile;1;0;France;Chile; 
1930;19.lip.30; 15:00 ;Group 1;Estadio Centenario;Montevideo ;Uruguay;Argentina;6;3;Mexico;Argentina; 
1930;20.lip.30; 13:00 ;Group 2;Estadio Centenario;Montevideo ;Uruguay;Brazil;4;0;Bolivia;Brazil; 
1930;20.lip.30; 15:00 ;Group 4;Estadio Centenario;Montevideo ;Uruguay;Paraguay;1;0;Belgium;Paraguay; 
1930;21.lip.30; 14:50 ;Group 3;Estadio Centenario;Montevideo ;Uruguay;Uruguay;4;0;Romania;Uruguay; 
1930;22.lip.30; 14:45 ;Group 1;Estadio Centenario;Montevideo ;Uruguay;Argentina;3;1;Chile;Argentina; 
1930;26.lip.30; 14:45 ;Semi-finals;Estadio Centenario;Montevideo ;Uruguay;Argentina;6;1;USA;Argentina; 
1930;27.lip.30; 14:45 ;Semi-finals;Estadio Centenario;Montevideo ;Uruguay;Uruguay;6;1;Yugoslavia;Uruguay; 
1930;30.lip.30; 14:15 ;Final;Estadio Centenario;Montevideo ;Uruguay;Uruguay;4;2;Argentina;Uruguay; 
1934;27.maj.34; 16:30 ;Preliminary round;Stadio Benito Mussolini;Turin ;Italy;Austria;3;2;France;Austria;Austria win after extra time 
1934;27.maj.34; 16:30 ;Preliminary round;Giorgio Ascarelli;Naples ;Italy;Hungary;4;2;Egypt;Hungary; 
